variable,mean
lp__,-25359.99096875
y_mis[1],4.630420615731063
y_mis[2],6.38917354229625
y_mis[3],46.1933426
y_mis[4],44.643852829375
y_mis[5],50.809059775
y_mis[6],36.1361882125
y_mis[7],37.0530193625
y_mis[8],41.5950741125
y_mis[9],61.932567175
y_mis[10],64.7009165625
y_mis[11],53.56416784375
y_mis[12],62.35386453125
y_mis[13],56.44323465
y_mis[14],56.7950339375
y_mis[15],56.01993924375
y_mis[16],60.12073266875
y_mis[17],63.931563518750004
y_mis[18],63.45542984375
y_mis[19],29.182731595625
y_mis[20],36.99883075
y_mis[21],10.285031075575
y_mis[22],9.045162951888376
y_mis[23],28.6256006745
y_mis[24],28.66591143125
y_mis[25],30.17737236375
y_mis[26],42.89582614375
y_mis[27],78.8345774625
y_mis[28],57.2099939125
y_mis[29],59.872094325
y_mis[30],57.12548941875
y_mis[31],58.60909053125
y_mis[32],65.024542075
y_mis[33],43.640661630625
y_mis[34],44.23591494375
y_mis[35],51.2155702875
y_mis[36],28.585218318625
y_mis[37],39.05695074375
y_mis[38],3.056721422790625
y_mis[39],2.02486760362625
y_mis[40],46.53778716875
y_mis[41],30.2656094617875
y_mis[42],5.9441524150714375
y_mis[43],6.046350941876875
y_mis[44],6.17892005537125
y_mis[45],5.989332695884931
y_mis[46],29.80931580743625
y_mis[47],29.8217008736875
y_mis[48],29.985397867
y_mis[49],29.8897727835
y_mis[50],29.9405164696875
y_mis[51],30.005229651
y_mis[52],30.212256475
y_mis[53],28.471896887
y_mis[54],28.472502938
y_mis[55],27.36982170789375
y_mis[56],20.93573807859375
y_mis[57],13.7416281986525
y_mis[58],14.458133190443125
y_mis[59],15.9715906130125
y_mis[60],16.190977841641875
y_mis[61],16.230567627858125
y_mis[62],16.165316887560625
y_mis[63],16.86580801995375
y_mis[64],15.44597239332625
y_mis[65],16.345378183273127
y_mis[66],16.366481690651874
y_mis[67],16.37551502245625
y_mis[68],43.73346459375
y_mis[69],42.45270061875
y_mis[70],11.26617276493125
y_mis[71],6.697000338007062
y_mis[72],2.481575034622375
y_mis[73],1.9443634007340314
y_mis[74],1.9093314312579375
y_mis[75],2.409465522605
y_mis[76],1.506045954061625
y_mis[77],1.2103557541635
y_mis[78],1.1733941845823188
y_mis[79],0.8743788043821875
y_mis[80],68.57659771875
